peak_id|peak_name|alt_names|height|location|approximate_coordinates|longitude|latitude|dms_longitude|dms_latitude|coordinate_notes|himal
SURM|Surma-Sarovar North||6564|Api Himal (SSE of Jethi Bahurani)|Y|81.0855556|29.8352778|81° 05′ 08.00000″ E|29° 50′ 07.00000″ N|MoTCA: (29° 50′ 07.00000″ N, 81° 05′ 08.00000″ E)|YOKAPAHAR
TAWO|Tawoche|Taboche,Tawache,Tobuche,Tawetse,Taweche|6495|Khumbu Himal (NW of Ama Dablam)|N|86.7793702|27.8973138|86° 46′ 45.73272″ E|27° 53′ 50.32968″ N|"OSM: (27° 53′ 50.32968″ N, 86° 46′ 45.73272″ E)
MoTCA: (27° 53′ 50.00000″ N, 86° 46′ 54.00000″ E)"|KHUMBU
KIRA|Kirat Chuli|Tent Peak|7362|Jongsang Himal (N of Kangchenjunga on Indian border)|N|88.1971372|27.7914626|88° 11′ 49.69392″ E|27° 47′ 29.26536″ N|"OSM: (27° 47′ 29.26536″ N, 88° 11′ 49.69392″ E)
MoTCA: (27° 47′ 19.00000″ N, 88° 11′ 54.00000″ E)"|NORTHERN
THAM|Thamserku|Tramserku|6618|Khumbu Himal (SW of Ama Dablam)|N|86.785298|27.7898577|86° 47′ 07.07280″ E|27° 47′ 23.48772″ N|"OSM: (27° 47′ 23.48772″ N, 86° 47′ 07.07280″ E)
MoTCA: (27° 47′ 23.00000″ N, 86° 47′ 16.00000″ E)"|BARUN
THAR|Tharpu Chuli|Tharpu Chull,Tent Peak|5695|Annapurna Himal (Annapurna Sanctuary)|N|83.8894197|28.5619937|83° 53′ 21.91092″ E|28° 33′ 43.17732″ N|"OSM: (28° 33′ 43.17732″ N, 83° 53′ 21.91092″ E)
MoTCA: (28° 35′ 05.00000″ N, 83° 55′ 50.00000″ E)"|ANNAPURNA
TILI|Tilicho|Tilicho Peak,Tilitso|7134|Annapurna-Nilgiri Himal (N of Annapurna I)|N|83.8114833|28.6826518|83° 48′ 41.33988″ E|28° 40′ 57.54648″ N|"OSM: (28° 40′ 57.54648″ N, 83° 48′ 41.33988″ E)
MoTCA: (28° 40′ 57.00000″ N, 83° 48′ 50.00000″ E)"|ANNAPURNA
TLNG|Talung||7349|Simhalila Himal (S of Kangchenjunga on Indian border)|N|88.1301939|27.6548025|88° 07′ 48.69804″ E|27° 39′ 17.28900″ N|"OSM: (27° 39′ 17.28900″ N, 88° 07′ 48.69804″ E)
MoTCA: (27° 39′ 17.00000″ N, 88° 08′ 01.00000″ E)"|SINGALILA
TONG|Tongu|Sura Peak,Tongu Himal,Hongu|6187|Mukut Himal (N of Hongde in Hidden Valley)|N|83.5033761|28.8714693|83° 30′ 12.15396″ E|28° 52′ 17.28948″ N|"OSM: (28° 52′ 17.28948″ N, 83° 30′ 12.15396″ E)
MoTCA: (27° 49′ 32.00000″ N, 86° 58′ 46.00000″ E)"|DHAULAGIRI
TRIP|Tripura Hiunchuli|Hanging Glacier Peak,Tripura Hiun Chuli,Tripura Thumba|6553|Kanjiroba Himal (SE of Kanjiroba)|Y|82.7375|29.3263889|82° 44′ 15.00000″ E|29° 19′ 35.00000″ N|MoTCA: (29° 19′ 35.00000″ N, 82° 44′ 15.00000″ E)|KANJIROBA
TSOK|Tso Karpo Kang|Tso Karpo Khang|6556|Kanjiroba Himal (E of Kanjiroba)|Y|82.7808333|29.3680556|82° 46′ 51.00000″ E|29° 22′ 05.00000″ N|MoTCA: (29° 22′ 05.00000″ N, 82° 46′ 51.00000″ E)|KANJIROBA
TUKU|Tukuche|Tukuche Peak|6920|Dhaulagiri Himal (NE of Dhaulagiri I)|N|83.557406|28.7449534|83° 33′ 26.66160″ E|28° 44′ 41.83224″ N|"OSM: (28° 44′ 41.83224″ N, 83° 33′ 26.66160″ E)
MoTCA: (28° 44′ 46.00000″ N, 83° 33′ 39.00000″ E)"|DHAULAGIRI
URKM|Urkinmang|Buddha,Urkinmag,Urkenmang|6143|Jugal Himal (W of Dorje Lhakpa)|N|85.7126984|28.1685545|85° 42′ 45.71424″ E|28° 10′ 06.79620″ N|"OSM: (28° 10′ 06.79620″ N, 85° 42′ 45.71424″ E)
MoTCA: (28° 10′ 09.00000″ N, 85° 42′ 54.00000″ E)"|JUGAL
ANID|Anidesh Chuli|White Wave,White Wave Peak|6808|Kangchenjunga Himal (W of Kangbachen)|Y|88.0708333|27.7186111|88° 04′ 15.00000″ E|27° 43′ 07.00000″ N|MoTCA: (27° 43′ 07.00000″ N, 88° 04′ 15.00000″ E)|NORTHERN
TSUR|Tsaurabong Peak|Chara Ban Peak,Anidesh Chuli,White Peak,White Wave|6395|Dhaulagiri Himal (SSE of Dhaulagiri V)|N|83.379961|28.6891711|83° 22′ 47.85960″ E|28° 41′ 21.01596″ N|"OSM: (28° 41′ 21.01596″ N, 83° 22′ 47.85960″ E)
MoTCA: (27° 43′ 07.00000″ N, 88° 04′ 15.00000″ E)"|DHAULAGIRI
YALU|Yalung Kang|Yalungkar,Yalung Khang|8505|Kangchenjunga Himal (W summit of Kangchenjunga)|Y|88.1386111|27.705|88° 08′ 19.00000″ E|27° 42′ 18.00000″ N|MoTCA: (27° 42′ 18.00000″ N, 88° 08′ 19.00000″ E)|NORTHERN
PASA|Pasang Lhamu Chuli|Nangpai Gosum,Jasemba|7350|Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border)|N|86.6124231|28.0729512|86° 36′ 44.72316″ E|28° 04′ 22.62432″ N|"OSM: (28° 04′ 22.62432″ N, 86° 36′ 44.72316″ E)
MoTCA: (28° 04′ 24.00000″ N, 86° 37′ 01.00000″ E)"|KHUMBU
RATC|Ratna Chuli||7035|Peri Himal (NW of Himlung on Tibetan border)|Y|84.3772222|28.8644444|84° 22′ 38.00000″ E|28° 51′ 52.00000″ N|MoTCA: (28° 51′ 52.00000″ N, 84° 22′ 38.00000″ E)|PERI
KANT|Kanti Himal|Ronglai Kangri,Kubi Grangri,Kanti Himal East,Kaqur Kangri|6850|Kanti Himal (NNW of Kanjiroba on Tibetan border)|Y|82.7022222|29.8530556|82° 42′ 08.00000″ E|29° 51′ 11.00000″ N|MoTCA: (29° 51′ 11.00000″ N, 82° 42′ 08.00000″ E)|KANTI
RAMT|Ramtang||6601|Kangchenjunga Himal (N of Kangbachen)|Y|88.0958333|27.7508333|88° 05′ 45.00000″ E|27° 45′ 03.00000″ N|MoTCA: (27° 45′ 03.00000″ N, 88° 05′ 45.00000″ E)|NORTHERN
LING|Lingtren||6713|Khumbu Himal (ENE of Pumori on Tibetan border)|N|86.8546651|28.0278017|86° 51′ 16.79436″ E|28° 01′ 40.08612″ N|"OSM: (28° 01′ 40.08612″ N, 86° 51′ 16.79436″ E)
MoTCA: (28° 01′ 39.00000″ N, 86° 51′ 26.00000″ E)"|KHUMBU
TENG|Tengkoma|Tang Kongma|6215|Jongsang Himal (NW of Kangchenjunga)|Y|88.0766667|27.8083333|88° 04′ 36.00000″ E|27° 48′ 30.00000″ N|MoTCA: (27° 48′ 30.00000″ N, 88° 04′ 36.00000″ E)|JANAK
RAMC|Ramtang Chang|Ramtang,Chang Himal,Wedge Peak|6802|Kangchenjunga Himal (N of Ramtang)|Y|88.0958333|27.7508333|88° 05′ 45.00000″ E|27° 45′ 03.00000″ N|MoTCA: (27° 45′ 03.00000″ N, 88° 05′ 45.00000″ E)|NORTHERN
CHRE|Churen Himal East|Churen|7371|Dhaulagiri Himal (NW of Dhaulagiri VI)|Y|83.2122222|28.7322222|83° 12′ 44.00000″ E|28° 43′ 56.00000″ N|MoTCA: (28° 43′ 56.00000″ N, 83° 12′ 44.00000″ E)|DHAULAGIRI
CHRW|Churen Himal West|Churen|7371|Dhaulagiri Himal (NW of Dhaulagiri VI)|Y|83.2122222|28.7322222|83° 12′ 44.00000″ E|28° 43′ 56.00000″ N|MoTCA: (28° 43′ 56.00000″ N, 83° 12′ 44.00000″ E)|DHAULAGIRI
CHRI|Chhukung Ri|Chhukung Chuli|5550|Khumbu Himal (S of Lhotse)|Y|86.8772222|27.9388889|86° 52′ 38.00000″ E|27° 56′ 20.00000″ N|MoTCA: (27° 56′ 20.00000″ N, 86° 52′ 38.00000″ E)|KHUMBU
KTOK|Kangtokal|Khang Tokal|6294|Dhaulagiri Himal (on ridge N of Putha Hiunchuli)|Y|83.1686111|28.7997222|83° 10′ 07.00000″ E|28° 47′ 59.00000″ N|MoTCA: (28° 47′ 59.00000″ N, 83° 10′ 07.00000″ E)|DHAULAGIRI
SRKU|Serku Dolma||6227|Kanjiroba Himal (S of Tso Karpo Kang)|||||||KANJIROBA
NALS|Nalakankar South|Nala Kankar|6024|Nalakankar Himal (on W Nepal/Tibetan border)|Y|81.4013889|30.3575|81° 24′ 05.00000″ E|30° 21′ 27.00000″ N|MoTCA: (30° 21′ 27.00000″ N, 81° 24′ 05.00000″ E)|NALAKANKAR
CHWT|Changwathang||6130|Chandi Himal (S of Tibetan border)|Y|81.8883333|30.3263889|81° 53′ 18.00000″ E|30° 19′ 35.00000″ N|MoTCA: (30° 19′ 35.00000″ N, 81° 53′ 18.00000″ E)|NALAKANKAR
TAKP|Takphu Himal||6395|Nalakankar Himal (on W Nepal/Tibetan border)|Y|81.4177778|30.2838889|81° 25′ 04.00000″ E|30° 17′ 02.00000″ N|MoTCA: (30° 17′ 02.00000″ N, 81° 25′ 04.00000″ E)|NALAKANKAR
MALA|Malanphulan|Melanphulan,Hinku Ri|6573|Khumbu Himal (S of Ama Dablam, NW of Kangtega)|Y|86.8722222|27.8027778|86° 52′ 20.00000″ E|27° 48′ 10.00000″ N|MoTCA: (27° 48′ 10.00000″ N, 86° 52′ 20.00000″ E)|BARUN
LHOM|Lhotse Middle|Lhotse Intermediate|8410|Khumbu Himal (E of Lhotse)|N|86.9386871|27.9607748|86° 56′ 19.27356″ E|27° 57′ 38.78928″ N|"OSM: (27° 57′ 38.78928″ N, 86° 56′ 19.27356″ E)
MoTCA: (27° 57′ 40.00000″ N, 86° 56′ 27.00000″ E)"|KHUMBU
SIMN|Simnang Himal|Simnang Himal East,P2|6251|Manaslu Himal (SE of Manaslu)|Y|84.5972222|28.5163889|84° 35′ 50.00000″ E|28° 30′ 59.00000″ N|MoTCA: (28° 30′ 59.00000″ N, 84° 35′ 50.00000″ E)|MANASLU
HCHI|Hungchhi|Gyuba Tshomotse,Chakung,Hunchhi,Gyubanare Kang|7029|Khumbu Himal (S of Gyachung Kang on Tibetan border)|Y|86.7611111|28.0347222|86° 45′ 40.00000″ E|28° 02′ 05.00000″ N|MoTCA: (28° 02′ 05.00000″ N, 86° 45′ 40.00000″ E)|KHUMBU
LAMP|Lampo|Langpo Kangri,Ganesh VI|6648|Ganesh Himal (N of Ganesh I on Tibetan border)|N|85.0614738|28.3697277|85° 03′ 41.30568″ E|28° 22′ 11.01972″ N|"OSM: (28° 22′ 11.01972″ N, 85° 03′ 41.30568″ E)
MoTCA: (28° 22′ 16.00000″ N, 85° 03′ 50.00000″ E)"|GANESH
CHUK|Chhukung Tse|Chhukung Chuli|5833|Khumbu Himal (S of Lhotse)|Y|86.8772222|27.9388889|86° 52′ 38.00000″ E|27° 56′ 20.00000″ N|MoTCA: (27° 56′ 20.00000″ N, 86° 52′ 38.00000″ E)|KHUMBU
DZAN|Dzanye|Dzanaye,Dzanye II|6581|Janak Himal (WNW of Lashar I on Tibetan border)|Y|88.0411111|27.9022222|88° 02′ 28.00000″ E|27° 54′ 08.00000″ N|MoTCA: (27° 54′ 08.00000″ N, 88° 02′ 28.00000″ E)|JANAK
GAUG|Gaugiri||6110|Damodar Himal (N of Bhrikuti on Tibetan border)|Y|84.19|29.0452778|84° 11′ 24.00000″ E|29° 02′ 43.00000″ N|MoTCA: (29° 02′ 43.00000″ N, 84° 11′ 24.00000″ E)|DAMODAR
TKPO|Tengkangpoche|Thyangmoche|6482|Rolwaling Himal (W of Kwangde)|Y|86.5986111|27.8038889|86° 35′ 55.00000″ E|27° 48′ 14.00000″ N|MoTCA: (27° 48′ 14.00000″ N, 86° 35′ 55.00000″ E)|ROLWALING
ARNK|Arniko Chuli|Araniko Chuli|6034|Mukut Himal (W Mustang near Tibetan border)|Y|83.6594444|29.1761111|83° 39′ 34.00000″ E|29° 10′ 34.00000″ N|MoTCA: (29° 10′ 34.00000″ N, 83° 39′ 34.00000″ E)|MUSTANG
SARI|Saribung|Selibung,Saribung Peak|6328|Damodar Himal (W of Bhrikuti)|N|84.1719123|28.885|84° 10′ 18.88428″ E|28° 53′ 06.00000″ N|"OSM: (28° 53′ 06.00000″ N, 84° 10′ 18.88428″ E)
MoTCA: (28° 53′ 04.00000″ N, 84° 10′ 26.00000″ E)"|DAMODAR
GHEN|Ghenge Liru|Langtang I,Ghenye Lirung,Langtang II,Langtang Lirung,Ghenye Liru|6596|Langtang Himal (WSW of Langtang Lirung)|N|85.5168032|28.256616|85° 31′ 00.49152″ E|28° 15′ 23.81760″ N|"OSM: (28° 15′ 23.81760″ N, 85° 31′ 00.49152″ E)
MoTCA: (28° 14′ 53.00000″ N, 85° 28′ 26.00000″ E)"|LANGTANG
NAUL|Naulekh||6340|Khumbu Himal (S of Mera Peak)|N|86.9024898|27.6875828|86° 54′ 08.96328″ E|27° 41′ 15.29808″ N|"OSM: (27° 41′ 15.29808″ N, 86° 54′ 08.96328″ E)
MoTCA: (27° 41′ 13.00000″ N, 86° 54′ 17.00000″ E)"|BARUN
CHEK|Chekigo||6121|Rolwaling Himal (ENE of Beding village on Tibetan border)|Y|86.4136111|27.9063889|86° 24′ 49.00000″ E|27° 54′ 23.00000″ N|MoTCA: (27° 54′ 23.00000″ N, 86° 24′ 49.00000″ E)|ROLWALING
KTUN|Khatung Khang|Khatung Kang|6484|Annapurna-Nilgiri Himal (SW of Thorong La)|N|83.9182918|28.7777768|83° 55′ 05.85048″ E|28° 46′ 39.99648″ N|"OSM: (28° 46′ 39.99648″ N, 83° 55′ 05.85048″ E)
MoTCA: (28° 46′ 37.00000″ N, 83° 55′ 17.00000″ E)"|DAMODAR
CHAG|Chago||6893|Makalu Himal (NW of Makalu II on Tibetan border)|Y|87.0563889|27.9261111|87° 03′ 23.00000″ E|27° 55′ 34.00000″ N|MoTCA: (27° 55′ 34.00000″ N, 87° 03′ 23.00000″ E)|MAKALU
NUMR|Numri||6635|Khumbu Himal (S of Cho Polu, N of Baruntse)|Y|86.9758333|27.8952778|86° 58′ 33.00000″ E|27° 53′ 43.00000″ N|MoTCA: (27° 53′ 43.00000″ N, 86° 58′ 33.00000″ E)|BARUN
PK41|Peak 41|"""True"" Mera Peak"|6648|Khumbu Himal (ESE of Ama Dablam)|||||||KHUMBU
KYAZ|Kyazo Ri|Kyajo Ri,Kyajori|6151|Khumbu Himal (SW of Gokyo Lake)|N|86.6697903|27.9090478|86° 40′ 11.24508″ E|27° 54′ 32.57208″ N|"OSM: (27° 54′ 32.57208″ N, 86° 40′ 11.24508″ E)
MoTCA: (27° 54′ 32.00000″ N, 86° 40′ 23.00000″ E)"|KHUMBU
PAND|Pandra||6670|Ohmi Kangri Himal (NW of Lhonak)|Y|87.9952778|27.8644444|87° 59′ 43.00000″ E|27° 51′ 52.00000″ N|MoTCA: (27° 51′ 52.00000″ N, 87° 59′ 43.00000″ E)|JANAK
DANG|Danga||6220|Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)|Y|87.9786111|27.8169444|87° 58′ 43.00000″ E|27° 49′ 01.00000″ N|MoTCA: (27° 49′ 01.00000″ N, 87° 58′ 43.00000″ E)|JANAK
POKR|Pokharkang|Pokhar Khang|6372|Damodar Himal (N of Pisang Peak)|Y|84.2288889|28.8127778|84° 13′ 44.00000″ E|28° 48′ 46.00000″ N|MoTCA: (28° 48′ 46.00000″ N, 84° 13′ 44.00000″ E)|DAMODAR
NAG1|Nangpai Gosum I|Nangpai Gosum,Pasang Lhamu Chuli,Nagpai Gosum I,Cho Aui|7321|Khumbu Himal (WSW of Cho Oyu on Tibetan border)|N|86.6124231|28.0729512|86° 36′ 44.72316″ E|28° 04′ 22.62432″ N|"OSM: (28° 04′ 22.62432″ N, 86° 36′ 44.72316″ E)
MoTCA: (28° 04′ 14.00000″ N, 86° 38′ 16.00000″ E)"|KHUMBU
KGRI|Khangri Shar||6792|Khumbu Himal (W of Pumori)|Y|86.8152778|28.0188889|86° 48′ 55.00000″ E|28° 01′ 08.00000″ N|MoTCA: (28° 01′ 08.00000″ N, 86° 48′ 55.00000″ E)|KHUMBU
KGRW|Khangri West||6658|Khumbu Himal (W of Pumori)|Y|86.7975|28.0205556|86° 47′ 51.00000″ E|28° 01′ 14.00000″ N|MoTCA: (28° 01′ 14.00000″ N, 86° 47′ 51.00000″ E)|KHUMBU
PURB|Purbung Himal|Purbung,Putrung|6500|Damodar Himal (N of Chulu West)|Y|84.0205556|28.8013889|84° 01′ 14.00000″ E|28° 48′ 05.00000″ N|MoTCA: (28° 48′ 05.00000″ N, 84° 01′ 14.00000″ E)|DAMODAR
TASH|Tashi Kang|Tashi Khang|6386|Mukut Himal (N of Dhampus Peak)|Y|83.6313889|28.8530556|83° 37′ 53.00000″ E|28° 51′ 11.00000″ N|MoTCA: (28° 51′ 11.00000″ N, 83° 37′ 53.00000″ E)|DHAULAGIRI
TENR|Tengi Ragi Tau|Angole,Agole|6938|Rolwaling Himal (N of Tesi Laptsa)|Y|86.5563889|27.8572222|86° 33′ 23.00000″ E|27° 51′ 26.00000″ N|MoTCA: (27° 51′ 26.00000″ N, 86° 33′ 23.00000″ E)|ROLWALING
KYAS|Kyashar|Peak 43,Tangnag Tseng|6770|Khumbu Himal (S of Kantega)|N|86.8223253|27.7548759|86° 49′ 20.37108″ E|27° 45′ 17.55324″ N|"OSM: (27° 45′ 17.55324″ N, 86° 49′ 20.37108″ E)
MoTCA: (27° 45′ 19.00000″ N, 86° 49′ 30.00000″ E)"|BARUN
NREK|Nirekha|Nirekha Peak|6159|Khumbu Himal (NW of Lobuje Peak)|Y|86.7652778|27.9775|86° 45′ 55.00000″ E|27° 58′ 39.00000″ N|MoTCA: (27° 58′ 39.00000″ N, 86° 45′ 55.00000″ E)|KHUMBU
NORB|Norbu Kang|Norbu Khang|6085|Kanjiroba Himal (SE of Phoksumdo Tal)|Y|83.0747222|29.1191667|83° 04′ 29.00000″ E|29° 07′ 09.00000″ N|MoTCA: (29° 07′ 09.00000″ N, 83° 04′ 29.00000″ E)|DOLPO
LNKE|Lunchhung Kamo East|Lungchhung|6024|Kanti Himal (SE of Danfe Sail on Tibetan border)|Y|83.1222222|29.6283333|83° 07′ 20.00000″ E|29° 37′ 42.00000″ N|MoTCA: (29° 37′ 42.00000″ N, 83° 07′ 20.00000″ E)|PALCHUNGHAMGA
LIK1|Linkhu Chuli Shar|Pigpferago Shar,Linkhu Chuli I,Bigphera-Go Shar,Likhu Chuli I,Pig Pherago Shar|6719|Rolwaling Himal (S of Parchamo)|Y|86.5447222|27.8111111|86° 32′ 41.00000″ E|27° 48′ 40.00000″ N|MoTCA: (27° 48′ 40.00000″ N, 86° 32′ 41.00000″ E)|ROLWALING
LIK2|Linkhu Chuli Nup|Likhu Chuli II,Pig Pherago Nup,Bigphera-Go Nup,Pigpferago Nup,Linkhu Chuli II|6659|Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)|Y|86.5261111|27.805|86° 31′ 34.00000″ E|27° 48′ 18.00000″ N|MoTCA: (27° 48′ 18.00000″ N, 86° 31′ 34.00000″ E)|ROLWALING
PANT|Panalotapa|Paniyotippa,Paniyo Tippa,Paniyo Tapa|6687|Rolwaling Himal (W of Tengkangpoche)|Y|86.5697222|27.8041667|86° 34′ 11.00000″ E|27° 48′ 15.00000″ N|MoTCA: (27° 48′ 15.00000″ N, 86° 34′ 11.00000″ E)|ROLWALING
SHAL|Shalbachum|Phrul Rangtshan Ri,Salbachum|6707|Langtang Himal (E of Langtang Lirung on Tibetan border)|N|85.6311335|28.2710295|85° 37′ 52.08060″ E|28° 16′ 15.70620″ N|"OSM: (28° 16′ 15.70620″ N, 85° 37′ 52.08060″ E)
MoTCA: (28° 16′ 18.00000″ N, 85° 38′ 04.00000″ E)"|LANGTANG
KHUM|Khumbutse|Khumbu Tse|6639|Khumbu Himal (NW of Lho La on Tibetan border)|N|86.872193|28.0219052|86° 52′ 19.89480″ E|28° 01′ 18.85872″ N|"OSM: (28° 01′ 18.85872″ N, 86° 52′ 19.89480″ E)
MoTCA: (28° 01′ 14.00000″ N, 86° 52′ 30.00000″ E)"|KHUMBU
BOKT|Boktoh|Bokta Peak,Bokta|6114|Kangchenjunga Himal (SE of Jannu)|Y|88.0069444|27.6208333|88° 00′ 25.00000″ E|27° 37′ 15.00000″ N|MoTCA: (27° 37′ 15.00000″ N, 88° 00′ 25.00000″ E)|KUMBHAKARNA
MOJC|Mojca|Mojka,Mojka Peak|6024|Kangchenjunga Himal (W of Ramtang Chang)|Y|88.0505556|27.7705556|88° 03′ 02.00000″ E|27° 46′ 14.00000″ N|MoTCA: (27° 46′ 14.00000″ N, 88° 03′ 02.00000″ E)|NORTHERN
PLNG|Palung|Yalung Ri,Palung Ri|7012|North of Cho Oyu (in Tibet)|Y|86.4144444|27.8530556|86° 24′ 52.00000″ E|27° 51′ 11.00000″ N|MoTCA: (27° 51′ 11.00000″ N, 86° 24′ 52.00000″ E)|ROLWALING
TUTS|Tutse|Peak 6,Nephu|6758|Makalu Himal (SE of Makalu)|Y|87.1013889|27.7719444|87° 06′ 05.00000″ E|27° 46′ 19.00000″ N|MoTCA: (27° 46′ 19.00000″ N, 87° 06′ 05.00000″ E)|BARUN
NUPE|Nuptse East I|Nuptse I,Nuptse|7795|Khumbu Himal (E of Nuptse main summit)|N|86.887081|27.9679586|86° 53′ 13.49160″ E|27° 58′ 04.65096″ N|"OSM: (27° 58′ 04.65096″ N, 86° 53′ 13.49160″ E)
MoTCA: (27° 58′ 01.00000″ N, 86° 53′ 22.00000″ E)"|KHUMBU
AMOT|Amotsang|Amatson|6393|Damodar Himal (NW of Pokharhan)|Y|84.1725|28.8347222|84° 10′ 21.00000″ E|28° 50′ 05.00000″ N|MoTCA: (28° 50′ 05.00000″ N, 84° 10′ 21.00000″ E)|DAMODAR
YANS|Yansa Tsenji|Dogpache,Dragpoche,Dhagpahe,Dhagpache|6567|Langtang Himal (SW of Shalbachum on Tibetan border)|N|85.6061571|28.2562087|85° 36′ 22.16556″ E|28° 15′ 22.35132″ N|"OSM: (28° 15′ 22.35132″ N, 85° 36′ 22.16556″ E)
MoTCA: (28° 15′ 23.00000″ N, 85° 36′ 30.00000″ E)"|LANGTANG
HIMJ|Himjung|Nemjung Goth|7092|Peri Himal (S of Himlung Himal)|Y|84.4197222|28.7363889|84° 25′ 11.00000″ E|28° 44′ 11.00000″ N|MoTCA: (28° 44′ 11.00000″ N, 84° 25′ 11.00000″ E)|PERI
AMPH|Amphu I||6740|Khumbu Himal (E of Amphu Laptsa, W of Baruntse)|Y|86.9555556|27.8702778|86° 57′ 20.00000″ E|27° 52′ 13.00000″ N|MoTCA: (27° 52′ 13.00000″ N, 86° 57′ 20.00000″ E)|BARUN
CHAB|Chabuk|Tsajirip|6792|Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border)|Y|87.9875|27.8858333|87° 59′ 15.00000″ E|27° 53′ 09.00000″ N|MoTCA: (27° 53′ 09.00000″ N, 87° 59′ 15.00000″ E)|JANAK
CHAK|Chako||6704|Damodar Himal (ESE of Bhrikuti Shail)|Y|84.2886111|28.8805556|84° 17′ 19.00000″ E|28° 52′ 50.00000″ N|MoTCA: (28° 52′ 50.00000″ N, 84° 17′ 19.00000″ E)|DAMODAR
DOMK|Dome Kang|Dome Khang|7264|Jongsang Himal (ESE of Jongsong on Indian border)|Y|88.15|27.8766667|88° 09′ 00.00000″ E|27° 52′ 36.00000″ N|MoTCA: (27° 52′ 36.00000″ N, 88° 09′ 00.00000″ E)|JANAK
GHAN|Ghhanyala Hies|Ghanyala Hies|6744|Janak Himal (NW of Janak Chuli on Tibetan border)|Y|88.0827778|27.8955556|88° 04′ 58.00000″ E|27° 53′ 44.00000″ N|MoTCA: (27° 53′ 44.00000″ N, 88° 04′ 58.00000″ E)|JANAK
HUNK|Hunku|Hunku Chuli|6119|Khumbu Himal (NNE of Peak 41)|Y|87.0119444|27.8175|87° 00′ 43.00000″ E|27° 49′ 03.00000″ N|MoTCA: (27° 49′ 03.00000″ N, 87° 00′ 43.00000″ E)|BARUN
JANK|Janak Chuli|Janak,Outlier|7041|Janak Himal (WNW of Jongsang on Tibetan border)|Y|88.0933333|27.8716667|88° 05′ 36.00000″ E|27° 52′ 18.00000″ N|MoTCA: (27° 52′ 18.00000″ N, 88° 05′ 36.00000″ E)|JANAK
KABS|Kabru South|Kabru|7318|Simhalila Himal (S of Kabru North on Indian border)|N|88.1176541|27.6250704|88° 07′ 03.55476″ E|27° 37′ 30.25344″ N|"OSM: (27° 37′ 30.25344″ N, 88° 07′ 03.55476″ E)
MoTCA: (27° 36′ 29.00000″ N, 88° 06′ 49.00000″ E)"|SINGALILA
KABR|Kabru Main|Kabru,Kabru Central|7412|Simhalila Himal (S of Talung on Indian border)|N|88.1176541|27.6250704|88° 07′ 03.55476″ E|27° 37′ 30.25344″ N|"OSM: (27° 37′ 30.25344″ N, 88° 07′ 03.55476″ E)
MoTCA: (27° 38′ 07.00000″ N, 88° 07′ 17.00000″ E)"|SINGALILA
LASH|Lashar I|Loshar I|6842|Janak Himal (NW of Lashar II on Tibetan border)|Y|88.0566667|27.8961111|88° 03′ 24.00000″ E|27° 53′ 46.00000″ N|MoTCA: (27° 53′ 46.00000″ N, 88° 03′ 24.00000″ E)|JANAK
LAS2|Lashar II|Loshar II|6803|Janak Himal (SW of Ghhanyala Hies on Tibetan border)|Y|88.0669444|27.8861111|88° 04′ 01.00000″ E|27° 53′ 10.00000″ N|MoTCA: (27° 53′ 10.00000″ N, 88° 04′ 01.00000″ E)|JANAK
NAG2|Nangpai Gosum II|Nangpai Gosum,Pasang Lhamu Chuli,Nagpai Gosum II,Chamar|7287|Khumbu Himal (WSW of Cho Oyu on Tibetan border)|N|86.6124231|28.0729512|86° 36′ 44.72316″ E|28° 04′ 22.62432″ N|"OSM: (28° 04′ 22.62432″ N, 86° 36′ 44.72316″ E)
MoTCA: (28° 04′ 29.00000″ N, 86° 39′ 09.00000″ E)"|KHUMBU
NANG|Nangamari I||6547|Ohmi Kangri Himal (W of Chaw Peak on Tibetan border)|Y|87.8686111|27.9105556|87° 52′ 07.00000″ E|27° 54′ 38.00000″ N|MoTCA: (27° 54′ 38.00000″ N, 87° 52′ 07.00000″ E)|JANAK
PANB|Panbari||6905|Peri Himal (NW of Larkya La)|Y|84.4838889|28.7183333|84° 29′ 02.00000″ E|28° 43′ 06.00000″ N|MoTCA: (28° 43′ 06.00000″ N, 84° 29′ 02.00000″ E)|PERI
PHNH|Phungi Himal||6538|Manaslu Himal (W of Manaslu)|Y|84.4858333|28.5544444|84° 29′ 09.00000″ E|28° 33′ 16.00000″ N|MoTCA: (28° 33′ 16.00000″ N, 84° 29′ 09.00000″ E)|MANASLU
MARI|Mariyang||6528|Kanti Himal (SE of Kanti Himal on Tibetan border)|Y|82.8888889|29.6933333|82° 53′ 20.00000″ E|29° 41′ 36.00000″ N|MoTCA: (29° 41′ 36.00000″ N, 82° 53′ 20.00000″ E)|PALCHUNGHAMGA
TKRG|Takargo|Dragker-go|6771|Rolwaling Himal (E of Chobutse)|Y|86.5116667|27.8747222|86° 30′ 42.00000″ E|27° 52′ 29.00000″ N|MoTCA: (27° 52′ 29.00000″ N, 86° 30′ 42.00000″ E)|ROLWALING
