peak_number|peak_name|alt_names|himal|region|height|longitude|latitude|dms_longitude|dms_latitude|caravan_route
276|Numbur||Rolwaling|Remechhap/Solukhumbu|6958|86.575|27.7544444|86° 34′ 30.00000″ E|27° 45′ 16.00000″ N|Phaphlu-Thaksindu-Dudhkunda-BC
277|Numri||Mahalangur|Solukhumbu/Sankhuwasabha|6635|86.9758333|27.8952778|86° 58′ 33.00000″ E|27° 53′ 43.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
278|Nupla Khang||Mahalangur|Solukhumbu/NC|6861|86.7669444|28.0741667|86° 46′ 01.00000″ E|28° 04′ 27.00000″ N|Lukla-Namche-Gokyo-Gorekhsep-BC
279|Nuptse||Khumbu|Solukhumbu|7864|86.8894444|27.9669444|86° 53′ 22.00000″ E|27° 58′ 01.00000″ N|Lukla-Namche-Khumjung-Lobuche-BC
280|Ohmi Kangri||Janak|Taplejung/NC|6839|87.9666667|27.8972222|87° 58′ 00.00000″ E|27° 53′ 50.00000″ N|Taplejung-Shekathum-Yanma-BC
281|Ombigaichen||Mahalangur|Solukhumbu|6340|86.8858333|27.8525|86° 53′ 09.00000″ E|27° 51′ 09.00000″ N|Lukla-Namche-Khumjung-Dingboche-BC
282|Omi Tso Go||Rolwaling|Dolakha/NC|6332|86.4580556|27.9152778|86° 27′ 29.00000″ E|27° 54′ 55.00000″ N|Ktm-Charikot-Lambagar-Lapche-BC
283|P2|Simnang Himal|Manaslu Himal|Gorkha|6251|84.5972222|28.5163889|84° 35′ 50.00000″ E|28° 30′ 59.00000″ N|Arughat-Soti Khola-Namrung-BC
284|Pabuk Khang|Kangata|Kanchanjunga|Taplejung/NC|6244|87.8905556|27.91|87° 53′ 26.00000″ E|27° 54′ 36.00000″ N|Taplejung-Sekthum-Yangma-BC
285|Paldor Peak||Ganesh|Dhading/Rasuwa|5903|85.1841667|28.2777778|85° 11′ 03.00000″ E|28° 16′ 40.00000″ N|Shabrubesi-Ghatlang-Somdang-Larimine-BC
286|Pama Himal||Peri|Gorkha/NC|6300|84.9511111|28.5802778|84° 57′ 04.00000″ E|28° 34′ 49.00000″ N|Arughat-Jagat-Bigh Gaon-Sherang Gomba-BC
287|Panbari||Peri|Manang/Gorkha|6887|84.4838889|28.7183333|84° 29′ 02.00000″ E|28° 43′ 06.00000″ N|Besisahar-Larkey Pass-Samdo-BC/Arughat-Jagat-Sama-Samdo-BC
288|Pangbuk Ri||Mahalangur|Solukhumbu/NC|6625|86.5222222|28.0052778|86° 31′ 20.00000″ E|28° 00′ 19.00000″ N|Lukla-Namche-Khumjung-Thame-Lunak-BC
289|Pandra||Kanchanjunga|Taplejung|6857|87.9952778|27.8644444|87° 59′ 43.00000″ E|27° 51′ 52.00000″ N|Taplejung-Ghunsa-Lunak-Tshima Glacier-BC
290|Pangri Goldumba||Langtang|Rasuwa/NC|6620|85.7291667|28.3280556|85° 43′ 45.00000″ E|28° 19′ 41.00000″ N|Langtang-Langshisa Kharka-Morimoto-BC
291|Paniyotippa||Mahalangur|Ramechhap/Solukhumbu|6687|86.5697222|27.8041667|86° 34′ 11.00000″ E|27° 48′ 15.00000″ N|Lukla-Ghat-Lumding Kharka-BC/Lukla-Namche-Thame-Thangbo-BC
292|Pankar Himal||Sringi|Gorkha/NC|6264|84.7425|28.6163889|84° 44′ 33.00000″ E|28° 36′ 59.00000″ N|Arughat-Jagat-Namru-Lho-Samagaon-Samdo-BC
293|Panpoche 1|Pang Phunch 1|Mansiri|Gorkha|6620|84.6838889|28.6288889|84° 41′ 02.00000″ E|28° 37′ 44.00000″ N|Arughat-Jagat-Sama Gaon-Samdo-BC
294|Panpoche 2|Pang Phunch 2|Mansiri|Gorkha|6504|84.6875|28.6141667|84° 41′ 15.00000″ E|28° 36′ 51.00000″ N|Arughat-Jagat-Sama Gaon-Samdo-BC
295|Pasang Lhamu Chuli||Mahalangur|Solukhumbu/NC|7350|86.6169444|28.0733333|86° 37′ 01.00000″ E|28° 04′ 24.00000″ N|Lukla-Namche-Khumjung-Thame-Tarnga-Dzasamba-BC
296|Pashuwo||Tsum|Gorkha/NC|6177|85.1683333|28.5319444|85° 10′ 06.00000″ E|28° 31′ 55.00000″ N|Syabrubesi-Langtang Valley-BC/Arughat-Jagat-Tsum-Domjenile-BC
297|Pathibhara Chuli|Pyramid Peak|Kanchenjunga|Taplejung/NI|7140|88.1758333|27.8205556|88° 10′ 33.00000″ E|27° 49′ 14.00000″ N|Taplejung-Ghunsa-Lonak-BC
298|Pathibhara East|Sphinx|Kanchenjunga|Taplejung/NI|6825|88.1902778|27.825|88° 11′ 25.00000″ E|27° 49′ 30.00000″ N|Taplejung-Ghunsa-Lhonak-Pangpema-BC
299|Patrasi||Patrasi|Mugu/Dolpa|6450|82.5925|29.4211111|82° 35′ 33.00000″ E|29° 25′ 16.00000″ N|Jumla-Trikhu-Talphi-Dhouli Daha-Hurrikot-BC
300|Peak 38|Shanti Shikhar|Mahalangur|Solukhumbu/NC|7591|86.9675|27.9552778|86° 58′ 03.00000″ E|27° 57′ 19.00000″ N|Lukla-Namche-Khumjung-Dingboche-Chhukung-BC
301|Peak 4||Mahalangur/Makalu|Sankhuwasabha|6287|87.0133333|27.8527778|87° 00′ 48.00000″ E|27° 51′ 10.00000″ N|Lukla-Merala-Hunku Glacier-BC/Tashgaun-Khongmal-BC
302|Peak 41||Mahalangur|Solukhumbu|6648|86.9113889|27.7738889|86° 54′ 41.00000″ E|27° 46′ 26.00000″ N|Lukla-Chhatrala-Thaknag-Merala-BC/Namche-Khumjung-Dingboche-Amphulapcha-Pach Pokhari-BC
303|Pem Thang Karpo Ri||Langtang|Rasuwa/NC|6865|85.7505556|28.2491667|85° 45′ 02.00000″ E|28° 14′ 57.00000″ N|Langtang-Langshisa Kharka-Morimoto-BC
304|Peri||Langtang|Rasuwa/NC|6174|85.7236111|28.3530556|85° 43′ 25.00000″ E|28° 21′ 11.00000″ N|Langtang-Langshisa Kharka-Morimoto-BC
305|Peri Himal||Peri|Manang/NC|6296|84.4816667|28.7472222|84° 28′ 54.00000″ E|28° 44′ 50.00000″ N|Arughat-Namru-Samagaon-Samdo-Fukang Glacier-BC
306|Pethangtse||Mahalangur|Sankhuwasabha/NC|6739|87.0183333|27.9575|87° 01′ 06.00000″ E|27° 57′ 27.00000″ N|Lukla-Thaknag-Panch pokhari-BC/Tumlingta-Seduwa-Shipton's Pass-BC
307|Pethangtse East||Mahalangur|Sankhuwasabha/NC|6572|87.0361111|27.9494444|87° 02′ 10.00000″ E|27° 56′ 58.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershong-BC
308|Pharchamo||Rolwaling|Dolakha/Solukhumbu|6279|86.5494444|27.8366667|86° 32′ 58.00000″ E|27° 50′ 12.00000″ N|Dolakha-Beding-Kabung-Tashi Lapcha-BC/Lukla-Namche-Khumjung-Thame-Tashi Lapcha
309|Phari Lapcha||Mahalangur|Solukhumbu|6017|86.6836111|27.9291667|86° 41′ 01.00000″ E|27° 55′ 45.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Thame-Renjo-BC
310|Phole||Kanchenjunga|Taplejung|6645|88.01|27.6858333|88° 00′ 36.00000″ E|27° 41′ 09.00000″ N|Taplejung-Ghunsa-Khangbachen-BC
311|Phu Khang||Peri Himal|Manang/NC|6694|84.4491667|28.7933333|84° 26′ 57.00000″ E|28° 47′ 36.00000″ N|Besisahar-Dhara Pani-Phu-BC
312|Phu Khang Go||Peri|Manang/Gorkha/NC|6767|84.4938889|28.7347222|84° 29′ 38.00000″ E|28° 44′ 05.00000″ N|Arughat-Namru-Samagaon-Samdo-Fukang Glacier-BC
313|Phu khang North||Peri|Manang/NC|6580|84.4377778|28.8208333|84° 26′ 16.00000″ E|28° 49′ 15.00000″ N|Ktm-Besisahar-Koto-Phu-BC
314|Phungi Himal||Mansiri|Manang|6538|84.4858333|28.5544444|84° 29′ 09.00000″ E|28° 33′ 16.00000″ N|Besisahar-Dharapani-Thonje-Dana Khola-BC/Bimthan-BC
315|Phungi||Peri|Manang/NC|6524|84.4027778|28.83|84° 24′ 10.00000″ E|28° 49′ 48.00000″ N|Ktm-Besisahar-Koto-Phu-BC
316|Phurbi Chyachu||Jugal|Sindhupalchok/NC|6637|85.8719444|28.1305556|85° 52′ 19.00000″ E|28° 07′ 50.00000″ N|Jalbire-Gumthang-Tembathang-Nyam-Masal Khola-BC
317|Pisang||Damodar|Manang|6091|84.1883333|28.6461111|84° 11′ 18.00000″ E|28° 38′ 46.00000″ N|Besisahar-Chamje-Chame-Pisang-BC
318|Pokhalde||Khumbu|Solukhumbu|5780|86.8358333|27.9244444|86° 50′ 09.00000″ E|27° 55′ 28.00000″ N|Lukla-Namche-Khumjung-Lobuche-BC/Gokyo-Chola Pass-Lobuche-BC
319|Pokhar Khang||Damodar|Manang|6372|84.2288889|28.8127778|84° 13′ 44.00000″ E|28° 48′ 46.00000″ N|Besisahar-Koto-Neta-Phu-Ngaru Pokharicamp-BC
320|Pota North|Peak Hawley|Kakhyor Himal|Dolpa|6182|83.1975|28.7758333|83° 11′ 51.00000″ E|28° 46′ 33.00000″ N|Jumla-Gotichaur-Urikot-BC
321|Pumori||Khumbu|Solukhumbu/NC|7138|86.8305556|28.015|86° 49′ 50.00000″ E|28° 00′ 54.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
322|Punchen Himal||Mansiri|Gorkha/NC|6049|85.1483333|28.6608333|85° 08′ 54.00000″ E|28° 39′ 39.00000″ N|Arughat-Jagat-Lokpa-Chumling-Raphen-Nyal-Mu-BC
323|Purbung||Damodar|Mustang/Manang|6500|84.0205556|28.8013889|84° 01′ 14.00000″ E|28° 48′ 05.00000″ N|Besisahar-Chame-Manang-BC/Kodo-Neta-Fu-BC
324|Purkung||Damodar|Mustang/Manang|6126|83.9927778|28.8147222|83° 59′ 34.00000″ E|28° 48′ 53.00000″ N|Besisahar-Chame-Manang-Thorang Phedi-BC
325|Putha Hiunchuli||Dhaulagiri|Rukum/Dolpa/Myagdi|7246|83.1480556|28.7477778|83° 08′ 53.00000″ E|28° 44′ 52.00000″ N|Juphal-Tarakot-Kakot-German Basecamp-BC
326|Raksha Urai||Urai Lekh|Bajhang|6609|81.1288889|30.0058333|81° 07′ 44.00000″ E|30° 00′ 21.00000″ N|Bajhang-Talkot-Dhulae-Gorongphu-Setopokhari-BC
327|Ramdong Go||Rolwaling|Dolakha/Ramechhap|5900|86.4336111|27.8186111|86° 26′ 01.00000″ E|27° 49′ 07.00000″ N|Dolakha-Jagat-Simi Gaon-Beding-Na-BC
328|Ramtang||Kanchenjunga|Taplejung|6601|88.0958333|27.7508333|88° 05′ 45.00000″ E|27° 45′ 03.00000″ N|Taplejung-Ghunsa-Ramtang-Lonak-Pangpema-BC
329|Rathong||Kanchanjunga|Taplejung/NI|6682|88.0911111|27.5936111|88° 05′ 28.00000″ E|27° 35′ 37.00000″ N|Taplejung-Yamphudin-Ramche-BC
330|Ratna Chuli||Peri|Manang/NC|7035|84.3772222|28.8644444|84° 22′ 38.00000″ E|28° 51′ 52.00000″ N|Besisahar-Dharapani-Koto-Meta-Fhugaon-BC
331|Raungsiyar||Rolwaling|Dolakha/Solukhumbu|6224|86.5594444|27.9077778|86° 33′ 34.00000″ E|27° 54′ 28.00000″ N|Lukla-Namche-Thame-TargnaChudonmokhola-BC/Charikot-Simigaun-Beding-Na-Tolumbau Glacier-BC
332|Rhimbu||Puchen|Gorkha|6210|85.0475|28.5594444|85° 02′ 51.00000″ E|28° 33′ 34.00000″ N|Arughat-Jagat-Tsum Valley-Nile-BC
333|Rokapi|Kap Chuli|Saipal|Darchula/Bhajang|6468|81.0402778|29.8477778|81° 02′ 25.00000″ E|29° 50′ 52.00000″ N|Darchula-Gokule-Gunsa-Chamalaya Nadi-BC
334|Rolmi||Puchen|Gorkha|6056|85.0502778|28.5677778|85° 03′ 01.00000″ E|28° 34′ 04.00000″ N|Arughat-Jagat-Tsum Valley-Nile-BC
335|Rolwaling Khang||Rolwaling|Dolakha|6664|86.5230556|27.8975|86° 31′ 23.00000″ E|27° 53′ 51.00000″ N|Charikot-Simigaun-Beding-Na-Tolumbau Glacier-BC
336|Rongshar Ri I|Ondrej Peak|Mahalangur|Solukhumbu/NC|6900|86.5511111|28.0505556|86° 33′ 04.00000″ E|28° 03′ 02.00000″ N|Lukla-Namche-Thame-Chule-BC
337|Sagarmatha||Khumbu|Solukhumbu/NC|8848|86.9280556|27.9880556|86° 55′ 41.00000″ E|27° 59′ 17.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
338|Saipal||Gurans/Saipal|Humla/Bajhang|7030|81.4947222|29.8877778|81° 29′ 41.00000″ E|29° 53′ 16.00000″ N|Simikot-Kermi-Yalbang-Puya-Chola-BC
339|Saipal East Humla||Saipal|Humla/Bajhang|6907|81.5005556|29.8911111|81° 30′ 02.00000″ E|29° 53′ 28.00000″ N|Simikot-Kermi-Yalbang-Puya-Chola-BC
340|Salbachum||Langtang|Rasuwa/NC|6707|85.6344444|28.2716667|85° 38′ 04.00000″ E|28° 16′ 18.00000″ N|Syabru-Lama Hotel-Kyangjing-BC
341|Saldim||Mahalangur/Makalu|Sankhuwasabha/NC|6374|87.1730556|27.8213889|87° 10′ 23.00000″ E|27° 49′ 17.00000″ N|Lukla-Merala-West Col-BC/Tumlingtar-Siduwa-Sersong-BC
342|Saldim West||Mahalangur|Sankhuwasabha/NC|6388|87.1591667|27.8241667|87° 09′ 33.00000″ E|27° 49′ 27.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershong-BC
343|Samdo Peak||Mansiri|Gorkha/NC|6335|84.6972222|28.6361111|84° 41′ 50.00000″ E|28° 38′ 10.00000″ N|Arughat-Sama Gaon-Samdo-BC
344|Sanctuary Peak||Kanjiroba|Mugu/Dolpa|6207|82.6258333|29.4238889|82° 37′ 33.00000″ E|29° 25′ 26.00000″ N|Jumla-Gotichaur-Hurikot-BC
345|Saribung||Damodar|Mustang/Manang|6328|84.1738889|28.8844444|84° 10′ 26.00000″ E|28° 53′ 04.00000″ N|Jomsom-Kagbeni-Lomangthang-BC/Chame-Nar Phu-BC
346|Sat Peak||Kanchenjunga|Taplejung|6164|87.9141667|27.7111111|87° 54′ 51.00000″ E|27° 42′ 40.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
347|Saula||Kutang|Gorkha/NC|6235|84.7561111|28.6138889|84° 45′ 22.00000″ E|28° 36′ 50.00000″ N|Arughat-Jagat-Namru-Lho-Samagaon-Samdo-BC
348|Sharphu I||Kanchenjunga|Taplejung|6463|87.9197222|27.7522222|87° 55′ 11.00000″ E|27° 45′ 08.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
349|Sharphu II||Kanchenjunga|Taplejung|6164|87.9216667|27.7577778|87° 55′ 18.00000″ E|27° 45′ 28.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
350|Sharphu III||Kanchenjunga|Taplejung|6220|87.9072222|27.7305556|87° 54′ 26.00000″ E|27° 43′ 50.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
351|Sharphu IV||Kanchenjunga|Taplejung|6172|87.9202778|27.8152778|87° 55′ 13.00000″ E|27° 48′ 55.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
352|Sharphu V||Kanchenjunga|Taplejung|6158|87.92|27.7452778|87° 55′ 12.00000″ E|27° 44′ 43.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
353|Sharphu VI||Kanchenjunga|Taplejung|6076|87.9258333|27.7736111|87° 55′ 33.00000″ E|27° 46′ 25.00000″ N|Taplejung-Dovan-Nilung-Sojang-Ghunsa-BC
354|Shartse II||Khumbu|Solukhumbu/Sankhuwasabha/NC|7457|86.9852778|27.9491667|86° 59′ 07.00000″ E|27° 56′ 57.00000″ N|Lukla-Namche-Khumjung-Dingboche-Chukung-BC
355|Sherson|Peak 3|Mahalangur/makalu|Sankhuwasabha/NC|6432|87.1288889|27.8338889|87° 07′ 44.00000″ E|27° 50′ 02.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershon-BC
356|Sherson Northwest||Mahalangur|Sankhuwasabha/NC|6682|87.1108333|27.8552778|87° 06′ 39.00000″ E|27° 51′ 19.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershon-BC
357|Shey Shikhar||Kanjiroba|Dolpa|6139|82.7972222|29.2869444|82° 47′ 50.00000″ E|29° 17′ 13.00000″ N|Juphal-Phoksundo-BC/Hurrikot-Gagdul-Coldes Anglais-Hyangin Glacier-BC
358|Singu Chuli|Fluted Peak|Annapurna|Kaski|6501|83.885|28.5872222|83° 53′ 06.00000″ E|28° 35′ 14.00000″ N|Chomrong-Deurali-MBC-BC
359|Sisne||Sisne Himal|Rukum|5911|82.6186111|28.8277778|82° 37′ 07.00000″ E|28° 49′ 40.00000″ N|Rukum-Salle-Daune-Naigad-Sisne Chargau-BC
360|Sita Chuchura||Dhaulagiri|Dolpa/Myagdi|6611|83.4847222|28.7825|83° 29′ 05.00000″ E|28° 46′ 57.00000″ N|Beni-Marpha-BC/Beni-Darbang-Mur-Hidden Valley-BC
361|Sobitongie||Kanchenjunga|Taplejung|6652|88.0280556|27.6855556|88° 01′ 41.00000″ E|27° 41′ 08.00000″ N|Taplejung-Ghunsa-Pandra Glacier-BC
362|Surma-Sarovar North||Surma Saravar Lekh|Bajhang|6397|81.0855556|29.8352778|81° 05′ 08.00000″ E|29° 50′ 07.00000″ N|Chainpur-Daulichaur-Laune-Kalanga Gad Khola-BC
363|Suyao Kang||Kanchenjunga|Taplejung|5929|87.8961111|27.8825|87° 53′ 46.00000″ E|27° 52′ 57.00000″ N|Taplejung-Dovan-Sekher Thum-BC
364|Swaksa Kang||Kanjiroba|Dolpa/NC|6405|82.8583333|29.6863889|82° 51′ 30.00000″ E|29° 41′ 11.00000″ N|Juphal-Phoksundo-Shey Gompa-Phopha-Swaksa Khola-BC
365|Swelokhan||Mansiri|Gorkha/NC|6180|84.6463889|28.725|84° 38′ 47.00000″ E|28° 43′ 30.00000″ N|Besisahar-Larkye Pass-Samdo-BC/Arughat-Jagat-Sama-Samdo-BC
366|Takargo||Mahalangur|Dolakha|6771|86.5116667|27.8747222|86° 30′ 42.00000″ E|27° 52′ 29.00000″ N|Charikot-Simi Gaon-Beding-Na-Rolwaling Glacier-BC/Lukla-Thame-Tashilapcha-BC
367|Takla Khang||Kanti|Mugu/NC|6276|82.6952778|29.7611111|82° 41′ 43.00000″ E|29° 45′ 40.00000″ N|Jumla-Gamgadi-Thaju Chaur-Takla Khola-BC
368|Takphu Himal||Nalakankar|Humla/NC|6395|81.4177778|30.2838889|81° 25′ 04.00000″ E|30° 17′ 02.00000″ N|Simikot-Kerimi-Nyula-Takchen-Sakya Khola-BC
369|Takphu North||Nalakankar|Humla/NC|6142|81.4222222|30.3036111|81° 25′ 20.00000″ E|30° 18′ 13.00000″ N|Ktm-Nepalganj-Simikot-Kermi-Nyu La-Takchen-Sakya Khola-BC
370|Talung||Kanchenjunga|Taplejung/NI|7349|88.1336111|27.6547222|88° 08′ 01.00000″ E|27° 39′ 17.00000″ N|Taplejung-Yamphudin-Ramachaur-BC
371|Tankya I||Palchung|Dolpa/NC|6305|82.9169444|29.7061111|82° 55′ 01.00000″ E|29° 42′ 22.00000″ N|Jufal-Shey Phoksundo-Bhijer-Tankya Khola-BC
372|Taple Sikhar|Cross Peak|Kanchenjunga|Taplejung|6447|88.1477778|27.7611111|88° 08′ 52.00000″ E|27° 45′ 40.00000″ N|Taplejung-Tapethok-Ghunsa-BC
373|Tare Khang||Annapurna|Kaski/Manang|7069|83.9161111|28.605|83° 54′ 58.00000″ E|28° 36′ 18.00000″ N|Besisahar-Chame-Manang-Khangser-Tilicho-BC
374|Tashi Khang||Mukut Himal|Mustang|6386|83.6313889|28.8530556|83° 37′ 53.00000″ E|28° 51′ 11.00000″ N|Jomsom-Marpha-Dhampus pass-BC/Jomsom-Phalak-Sangda-BC
375|Tawoche||Khumbu|Solukhumbu|6495|86.7816667|27.8972222|86° 46′ 54.00000″ E|27° 53′ 50.00000″ N|Lukla-Namche-Khumjung-Khonar-BC/Khumjung-Dingboche-BC
376|Tengi Ragi Tau|Agole|Mahalangur|Dolakha/Solukhumbu|6938|86.5563889|27.8572222|86° 33′ 23.00000″ E|27° 51′ 26.00000″ N|Lukla-Namche-Khumjung-Thame-Thengpo-BC
377|Tengkangpoche||Mahalangur|Solukhumbu|6482|86.5986111|27.8038889|86° 35′ 55.00000″ E|27° 48′ 14.00000″ N|Lukla-Namche-Khumjung-Thame-Thengpo-BC
378|Tengkoma||Kanchenjunga|Taplejung|6215|88.0766667|27.8083333|88° 04′ 36.00000″ E|27° 48′ 30.00000″ N|Taplejung-Ghunsa-Lhonak-BC
379|Tenzing Peak||Mahalangur|Solukhumbu/NC|7916|86.6869444|28.1058333|86° 41′ 13.00000″ E|28° 06′ 21.00000″ N|Lukla-Namche-Gokyo-BC
380|Thakar Go East||Rolwaling|Dolakha|6152|86.5233333|27.8719444|86° 31′ 24.00000″ E|27° 52′ 19.00000″ N|Charikot-Simigaun-Beding-Na-Tolumbau Glacier-BC
381|Thakmarpo Ri|Panaya Tippa,Dragmorpa Ri|Langtang|Rasuwa|6185|85.6641667|28.3252778|85° 39′ 51.00000″ E|28° 19′ 31.00000″ N|Syabrubesi-Langtang-Kyanjing-Langshisha Kharka-BC
382|Thaknak Ri|Dranganag Ri|Rolwaling|Dolakha/Solukhumbu|6757|86.5263889|27.9469444|86° 31′ 35.00000″ E|27° 56′ 49.00000″ N|Dolakha-Jagat-Simi Gaon-Beding-Na-BC
383|Thamserku||Khumbu|Solukhumbu|6618|86.7877778|27.7897222|86° 47′ 16.00000″ E|27° 47′ 23.00000″ N|Lukla-Manju-BC/Namche-Khumjung-BC
384|Thapa Peak|Dhampus|Dhaulagiri|Mustang|6012|83.6119444|28.7980556|83° 36′ 43.00000″ E|28° 47′ 53.00000″ N|Jomsom-Marpha-Yak Kharka-BC
385|Tharke Khang||Mahalangur|Solukhumbu/NC|6710|86.7516667|28.0438889|86° 45′ 06.00000″ E|28° 02′ 38.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Zongla-BC
386|Tharpu Chuli|Tent Peak|Annapurna|Kaski|5695|83.9305556|28.5847222|83° 55′ 50.00000″ E|28° 35′ 05.00000″ N|Chomorong-Deurali-MBC-BC
387|Thoche Go||Peri|Manang/NC|6602|84.4597222|28.7577778|84° 27′ 35.00000″ E|28° 45′ 28.00000″ N|Besisahar-Dharapani-Bhinthang-Ponkar Glacier-BC
388|Thorong Peak||Annapurna|Manang/Mustang|6144|83.93|28.7825|83° 55′ 48.00000″ E|28° 46′ 57.00000″ N|Jomsom-Muktinath-BC/Chame-Manang-Thorangla-BC
389|Thulagi Peak||Mansiri|Manang|7059|84.5227778|28.5277778|84° 31′ 22.00000″ E|28° 31′ 40.00000″ N|Besisahar-Tal-Dhara Pani-Dovan Khola-BC
390|Til Kang||Nalakankar|Humla/NC|6369|81.4144444|30.27|81° 24′ 52.00000″ E|30° 16′ 12.00000″ N|Simikot-Kerimi-Nyu La-Takechen-Sakya Khola-BC
391|Tilicho Peak||Annapurna|Myagdi/Manang|7134|83.8138889|28.6825|83° 48′ 50.00000″ E|28° 40′ 57.00000″ N|Chame-Manang-Khangsar-Tilcho-BC/JomsomMesokanto pass-BC
392|Tilje||Peri|Manang|5696|84.3952778|28.7102778|84° 23′ 43.00000″ E|28° 42′ 37.00000″ N|Besisahar-Koto-Meta-Kayang-BC
393|Tobsar Peak||Siringi Himal|Gorkha|6065|85.0594444|28.5805556|85° 03′ 34.00000″ E|28° 34′ 50.00000″ N|Arughat-Jagat-Tsum-Domje-Nimyang Kharka-BC
394|Tripura Hiun Chuli|Hanging Glacier Peak|Kanjiroba|Dolpa|6553|82.7375|29.3263889|82° 44′ 15.00000″ E|29° 19′ 35.00000″ N|Jumla-Hurrikot-Jagdul-BC
395|Tsartse||Mukut Himal|Mustang|6343|83.6486111|28.8613889|83° 38′ 55.00000″ E|28° 51′ 41.00000″ N|Jomsom-Marpha-Dhampus-BC/Jomsom-Phalak-Sangda pass-BC
396|Tso Karpo||Kanjiroba|Dolpa|6518|82.7666667|29.3666667|82° 46′ 00.00000″ E|29° 22′ 00.00000″ N|Dunai-Ringmo-BC
397|Tso Karpo Khang||Kanjibora|Dolpa|6556|82.7808333|29.3680556|82° 46′ 51.00000″ E|29° 22′ 05.00000″ N|Juphal-Phoksunko-Peri Kapuwa Khola-BC
398|Tutse|Peak 6|Mahalangur/Makalu|Sankhuwasabha|6758|87.1013889|27.7719444|87° 06′ 05.00000″ E|27° 46′ 19.00000″ N|Tumlingtar-Deduwa-Yangre Kharka-Ramara-BC
399|Tukuche Peak||Dhaulagiri|Myagdi/Mustang|6920|83.5608333|28.7461111|83° 33′ 39.00000″ E|28° 44′ 46.00000″ N|Jomsom-Marpha-Dhampus-BC
400|Urkenmang||Jugal|Rasuwa/Sindhupalchowk|6143|85.715|28.1691667|85° 42′ 54.00000″ E|28° 10′ 09.00000″ N|Dhunche-Langtang-Kyangjing-Langsisa Kharka-BC
401|Varaha Shikhar|Fang|Annapurna|Myagdi/Kaski|7647|83.8033333|28.5780556|83° 48′ 12.00000″ E|28° 34′ 41.00000″ N|Beni-Lete-Thulobugin-Mristi Khola-BC
402|Yakawa Kang||Damodar|Mustang/Manang|6482|83.9444444|28.8086111|83° 56′ 40.00000″ E|28° 48′ 31.00000″ N|Jomsom-Muktinath-Thorang Phedi-BC or Manang
403|Yala||Langtang|Rasuwa|5732|85.6258333|28.24|85° 37′ 33.00000″ E|28° 14′ 24.00000″ N|Dhunche-Langtang-Kyanjin-BC
404|Yalung Khang||Kachenjunga|Taplejung|8505|88.1386111|27.705|88° 08′ 19.00000″ E|27° 42′ 18.00000″ N|Taplejung-Yamphudin--Tseram-Ramche-Oktang-BC
405|Yalung Khang West||Kanchenjunga|Taplejung|8077|88.1255556|27.7061111|88° 07′ 32.00000″ E|27° 42′ 22.00000″ N|Taplejung-Gunsa-Lonak-Pangpema-BC/Taplejung-Yamphuding-Tseram-BC
406|Yalung Ri||Rolwaling|Dolakha|5647|86.4144444|27.8530556|86° 24′ 52.00000″ E|27° 51′ 11.00000″ N|Charikot-Simigaon-Beding-Na-Yalung-BC
407|Yangra South||Ganesh|Gorkha/Dhading/NC|6863|85.11|28.3463889|85° 06′ 36.00000″ E|28° 20′ 47.00000″ N|Trishuli-Shertung-Pansan Bhanjyang-BC
408|Yangri||Jugal|Sindhupalchok/NC|6635|85.8738889|28.1427778|85° 52′ 26.00000″ E|28° 08′ 34.00000″ N|Ktm-Jalbire-Ghumthang-Tembathang Ladangbenshi-Nyamya Masal Khola-BC
409|Yanme Khang||Kanchanjunga|Taplejung/NC|6206|87.8497222|27.9461111|87° 50′ 59.00000″ E|27° 56′ 46.00000″ N|Taplejung-GhunsaYanma-BC
410|Yara Chuli||Palchung|Mugu/Dolpa/NC|6236|82.8288889|29.6894444|82° 49′ 44.00000″ E|29° 41′ 22.00000″ N|Jufal-Shey Phoksundo-Bhijer-Tankya Khola-BC
411|Yarwa||Guras|Darchula/Bajhang/NC|6644|81.0925|30.0541667|81° 05′ 33.00000″ E|30° 03′ 15.00000″ N|Darchula-Changru-Tinkar River-BC
412|Yaupa||Mahalangur/Makalu|Sankhuwasabha/NC|6422|87.1430556|27.8369444|87° 08′ 35.00000″ E|27° 50′ 13.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershong-BC
